"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"151","Indiana State Sycamores","ncaa","#0142BC","#FFFFFF",NA,NA,"MVC","Indiana State","Sycamores","Indiana State Sycamores","http://content.sportslogos.net/logos/32/710/thumbs/71058591991.gif"
"152","Indianapolis Colts","nfl","#002c5f","#a5acaf","#013369","#9ba1a2","AFC South","Indianapolis","Colts","Indianapolis Colts","http://content.sportslogos.net/logos/7/158/thumbs/593.gif"
"153","Iona","ncaa","#6F2C3F","#F2A900",NA,NA,"MAAC","Iona",NA,"Iona Gaels","http://content.sportslogos.net/logos/32/711/thumbs/71185382016.gif"
"154","Iowa Hawkeyes","ncaa","#FFCD00","#000000",NA,NA,"Big 10","Iowa","Hawkeyes","Iowa Hawkeyes","http://content.sportslogos.net/logos/32/712/thumbs/iu01050mxpzmj4zqegb0vvhgu.gif"
"155","Iowa State Cyclones","ncaa","#C8102E","#F1BE48",NA,NA,"Big 12","Iowa State","Cyclones","Iowa State Cyclones","http://content.sportslogos.net/logos/32/713/thumbs/71346122008.gif"
"156","IUPUI","ncaa","#9D2235","#DFD1A7","#000000",NA,"Horizon","IUPUI",NA,"IUPUI Jaguars","http://content.sportslogos.net/logos/32/703/thumbs/o4gdbgmehb7eh9beafqannlto.gif"
"157","Jacksonville Jaguars","nfl","#000000","#006778","#9f792c","#d7a22a","AFC South","Jacksonville","Jaguars","Jacksonville Jaguars","http://content.sportslogos.net/logos/7/159/thumbs/15988562013.gif"
"158","Jacksonville State Gamecocks","ncaa","#004E44","#898A8D","#BBBBBB","#000000","OVC","Jacksonville State","Gamecocks","Jacksonville State Gamecocks","http://content.sportslogos.net/logos/32/716/thumbs/84gdv65kg9fdjefh4teoh5355.gif"
"159","Kansas City Chiefs","nfl","#e31837","#ffb612","#000000","#eead1e","AFC West","Kansas City","Chiefs","Kansas City Chiefs","http://content.sportslogos.net/logos/7/162/thumbs/857.gif"
"160","Kansas City Royals","mlb","#004687","#c09a5b",NA,NA,"AL Central","Kansas City","Royals","Kansas City Royals","http://content.sportslogos.net/logos/53/62/thumbs/6283222019.gif"
"161","Kansas Jayhawks","ncaa","#0051BA","#E8000D","#FFC82D","#85898A","Big 12","Kansas","Jayhawks","Kansas Jayhawks","http://content.sportslogos.net/logos/32/718/thumbs/t96oee4doe8n2oxaft7f.gif"
"162","Kansas State Wildcats","ncaa","#512888","#D1D1D1","#A7A7A7","#FFFFFF","Big 12","Kansas State","Wildcats","Kansas State Wildcats","http://content.sportslogos.net/logos/32/719/thumbs/2508.gif"
"163","Kennesaw State Owls","ncaa","#FDBB30","#0B1315","#C5C6C8",NA,"A-Sun","Kennesaw State","Owls","Kennesaw State Owls","http://content.sportslogos.net/logos/32/4949/thumbs/494939612012.gif"
"164","Kent State Golden Flashes","ncaa","#002664","#EAAB00",NA,NA,"MAC","Kent State","Golden Flashes","Kent State Golden Flashes","http://content.sportslogos.net/logos/32/720/thumbs/72036552012.gif"
"165","Kentucky Wildcats","ncaa","#0033A0","#FFFFFF","#000000",NA,"SEC","Kentucky","Wildcats","Kentucky Wildcats","http://content.sportslogos.net/logos/32/721/thumbs/72178322016.gif"
"166","LA Galaxy","mls","#00245d","#004689","#f1aa00","#ffd200",NA,"LA","Galaxy","LA Galaxy","http://content.sportslogos.net/logos/9/331/thumbs/wcwwzw1ysgmdcgkguwof.gif"
"167","La Salle Explorers","ncaa","#FFCC00","#003366",NA,NA,"A-10","La Salle","Explorers","La Salle Explorers","http://content.sportslogos.net/logos/32/724/thumbs/gt5hdsffx86dsn0rjc0upzjtg.gif"
"168","Las Vegas Aces","wnba","#BA0C2F","#000000","#85714D","#8A8D8F","Western","Las","Vegas Aces","Las Vegas Aces","http://content.sportslogos.net/logos/16/6575/thumbs/657515772018.gif"
"169","Leicester City","epl","#fdbe11","#0053a0",NA,NA,NA,"Leicester City",NA,"Leicester City",NA
"170","Lipscomb Bisons","ncaa","#331E54","#F4AA00","#000000",NA,"A-Sun","Lipscomb","Bisons","Lipscomb Bisons","http://content.sportslogos.net/logos/32/729/thumbs/72944222014.gif"
"171","Little Rock","ncaa","#6E2639","#A7A9AC",NA,NA,"Sunbelt","Little Rock",NA,"Little Rock Trojans","http://content.sportslogos.net/logos/32/5844/thumbs/584413522015.gif"
"172","Liverpool","epl","#00a398","#d00027","#fef667",NA,NA,"Liverpool",NA,"Liverpool",NA
"173","LMU (CA)","ncaa","#B62B3A","#00447C","#617080","#231F20","WCC","LMU","(CA)","Loyola Marymount Lions","http://content.sportslogos.net/logos/32/737/thumbs/73768392006.gif"
"174","Long Beach State","ncaa","#FFC72A","#000000",NA,NA,"Big West","Long Beach State",NA,"Long Beach State 49ers","http://content.sportslogos.net/logos/32/730/thumbs/73050262014.gif"
"175","Los Angeles Angels","mlb","#ba0021","#003263",NA,NA,"AL West","Los Angeles","Angels","Los Angeles Angels","http://content.sportslogos.net/logos/53/6521/thumbs/652143892016.gif"
"176","Los Angeles Chargers","nfl","#002244","#0073cf","#ffb612","#001532","AFC West","Los Angeles","Chargers","Los Angeles Chargers","http://content.sportslogos.net/logos/7/6446/thumbs/644624152017.gif"
"177","Los Angeles Clippers","nba","#ed174c","#006bb6","#061922","#bec0c2","Pacific","Los Angeles","Clippers","Los Angeles Clippers","http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif"
"178","Los Angeles Dodgers","mlb","#005a9c","#005a9c","#ef3e42",NA,"NL West","Los Angeles","Dodgers","Los Angeles Dodgers","http://content.sportslogos.net/logos/54/63/thumbs/efvfv5b5g1zgpsf56gb04lthx.gif"
"179","Los Angeles Kings","nhl","#010101","#a2aaad",NA,NA,"Pacific","Los Angeles","Kings","Los Angeles Kings","http://content.sportslogos.net/logos/1/14/thumbs/1422202020.gif"
"180","Los Angeles Lakers","nba","#fdb927","#552582","#061922","#8177b7","Pacific","Los Angeles","Lakers","Los Angeles Lakers","http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif"
"181","Los Angeles Rams","nfl","#002244","#b3995d","#001532","#af925d","NFC West","Los Angeles","Rams","Los Angeles Rams","http://content.sportslogos.net/logos/7/5941/thumbs/594179532017.gif"
"182","Los Angeles Sparks","wnba","#FFC72C","#702F8A","#00B398","#000000","Western","Los Angeles","Sparks","Los Angeles Sparks","http://content.sportslogos.net/logos/16/308/thumbs/dli101p4fsuk0yvovfwife7b6.gif"
